"ReplicateID","# tracers added (true)","# spores in the sample (true)","# counts","# spores counted","# tracers counted"
1,10000,15,25,0,25
2,10000,15,25,0,25
3,10000,15,25,0,25
4,10000,15,25,0,25
5,10000,15,25,0,25
1,10000,76,25,0,25
2,10000,76,25,0,25
3,10000,76,25,0,25
4,10000,76,25,1,24
5,10000,76,25,0,25
1,10000,387,25,0,25
2,10000,387,25,0,25
3,10000,387,25,1,24
4,10000,387,25,0,25
5,10000,387,25,1,24
1,10000,1968,25,6,19
2,10000,1968,25,1,24
3,10000,1968,25,5,20
4,10000,1968,25,3,22
5,10000,1968,25,5,20
1,10000,10000,25,8,17
2,10000,10000,25,11,14
3,10000,10000,25,11,14
4,10000,10000,25,12,13
5,10000,10000,25,12,13
1,14953,22,25,0,25
2,14953,22,25,0,25
3,14953,22,25,0,25
4,14953,22,25,0,25
5,14953,22,25,0,25
1,14953,114,25,0,25
2,14953,114,25,0,25
3,14953,114,25,0,25
4,14953,114,25,0,25
5,14953,114,25,0,25
1,14953,579,25,2,23
2,14953,579,25,0,25
3,14953,579,25,1,24
4,14953,579,25,2,23
5,14953,579,25,0,25
1,14953,2943,25,2,23
2,14953,2943,25,2,23
3,14953,2943,25,4,21
4,14953,2943,25,2,23
5,14953,2943,25,4,21
1,14953,14953,25,10,15
2,14953,14953,25,16,9
3,14953,14953,25,13,12
4,14953,14953,25,12,13
5,14953,14953,25,9,16
1,22361,34,25,0,25
2,22361,34,25,0,25
3,22361,34,25,0,25
4,22361,34,25,0,25
5,22361,34,25,0,25
1,22361,170,25,0,25
2,22361,170,25,1,24
3,22361,170,25,0,25
4,22361,170,25,0,25
5,22361,170,25,0,25
1,22361,866,25,0,25
2,22361,866,25,1,24
3,22361,866,25,0,25
4,22361,866,25,0,25
5,22361,866,25,2,23
1,22361,4401,25,6,19
2,22361,4401,25,2,23
3,22361,4401,25,5,20
4,22361,4401,25,3,22
5,22361,4401,25,5,20
1,22361,22361,25,10,15
2,22361,22361,25,14,11
3,22361,22361,25,11,14
4,22361,22361,25,15,10
5,22361,22361,25,17,8
1,33437,50,25,0,25
2,33437,50,25,0,25
3,33437,50,25,0,25
4,33437,50,25,0,25
5,33437,50,25,0,25
1,33437,255,25,0,25
2,33437,255,25,1,24
3,33437,255,25,1,24
4,33437,255,25,0,25
5,33437,255,25,0,25
1,33437,1295,25,0,25
2,33437,1295,25,1,24
3,33437,1295,25,3,22
4,33437,1295,25,0,25
5,33437,1295,25,2,23
1,33437,6580,25,8,17
2,33437,6580,25,8,17
3,33437,6580,25,4,21
4,33437,6580,25,5,20
5,33437,6580,25,6,19
1,33437,33437,25,8,17
2,33437,33437,25,11,14
3,33437,33437,25,11,14
4,33437,33437,25,10,15
5,33437,33437,25,13,12
1,50000,75,25,1,24
2,50000,75,25,0,25
3,50000,75,25,0,25
4,50000,75,25,0,25
5,50000,75,25,0,25
1,50000,381,25,0,25
2,50000,381,25,0,25
3,50000,381,25,0,25
4,50000,381,25,0,25
5,50000,381,25,1,24
1,50000,1936,25,1,24
2,50000,1936,25,1,24
3,50000,1936,25,0,25
4,50000,1936,25,1,24
5,50000,1936,25,3,22
1,50000,9840,25,4,21
2,50000,9840,25,8,17
3,50000,9840,25,5,20
4,50000,9840,25,3,22
5,50000,9840,25,4,21
1,50000,50000,25,14,11
2,50000,50000,25,16,9
3,50000,50000,25,12,13
4,50000,50000,25,10,15
5,50000,50000,25,11,14
1,10000,15,63,0,63
2,10000,15,63,0,63
3,10000,15,63,0,63
4,10000,15,63,0,63
5,10000,15,63,1,62
1,10000,76,63,1,62
2,10000,76,63,0,63
3,10000,76,63,0,63
4,10000,76,63,0,63
5,10000,76,63,1,62
1,10000,387,63,4,59
2,10000,387,63,1,62
3,10000,387,63,2,61
4,10000,387,63,3,60
5,10000,387,63,3,60
1,10000,1968,63,8,55
2,10000,1968,63,9,54
3,10000,1968,63,12,51
4,10000,1968,63,18,45
5,10000,1968,63,13,50
1,10000,10000,63,29,34
2,10000,10000,63,30,33
3,10000,10000,63,36,27
4,10000,10000,63,37,26
5,10000,10000,63,31,32
1,14953,22,63,0,63
2,14953,22,63,0,63
3,14953,22,63,0,63
4,14953,22,63,0,63
5,14953,22,63,0,63
